[2026-02-10T13:44:42.221085] User: DrBob | Action: READ | Record: 101 | Result: ALLOWED
[2026-02-10T14:06:04.135085] User: NurseEve | Action: CREATE | Record: DrBob | Result: DENIED
[2026-02-10T14:06:04.136790] User: NurseEve | Action: DELETE | Record: 101 | Result: DENIED
[2026-02-10T14:06:05.538889] User: Alice | Action: READ | Record: 101 | Result: ALLOWED
[2026-02-10T14:06:05.540679] User: Alice | Action: READ | Record: 102 | Result: DENIED
[2026-02-10T14:06:05.541659] User: Alice | Action: DELETE | Record: 101 | Result: DENIED
[2026-02-10T14:06:06.956659] User: GovOrg | Action: DELETE | Record: 101 | Result: ALLOWED
[2026-02-26T14:50:50.713863] User: DrBob | Action: READ | Target: 101 | Result: ALLOWED
[2026-02-26T14:50:50.718192] User: DrBob | Action: WRITE | Target: 101 | Result: ALLOWED
[2026-02-26T14:50:50.720643] User: DrBob | Action: CREATE | Target: Alice | Result: ALLOWED
[2026-02-26T14:50:50.722631] User: DrBob | Action: READ | Target: 103 | Result: DENIED
[2026-02-26T14:50:50.725989] User: DrBob | Action: DELETE | Target: 101 | Result: DENIED
[2026-02-26T14:50:52.142575] User: NurseEve | Action: READ | Target: 101 | Result: ALLOWED
[2026-02-26T14:50:52.146183] User: NurseEve | Action: WRITE | Target: 101 | Result: ALLOWED
[2026-02-26T14:50:52.147334] User: NurseEve | Action: CREATE | Target: DrBob | Result: DENIED
[2026-02-26T14:50:52.149097] User: NurseEve | Action: DELETE | Target: 101 | Result: DENIED
[2026-02-26T14:50:53.547918] User: Alice | Action: READ | Target: 101 | Result: ALLOWED
[2026-02-26T14:50:53.551582] User: Alice | Action: READ | Target: 102 | Result: DENIED
[2026-02-26T14:50:53.552703] User: Alice | Action: DELETE | Target: 101 | Result: DENIED
[2026-02-26T14:50:54.954092] User: GovOrg | Action: DELETE | Target: 101 | Result: ALLOWED
[2026-02-27T21:32:16.176181] User: DrBob | Action: LIST | Target: ALL | Result: ALLOWED
[2026-02-27T21:32:23.338533] User: DrBob | Action: READ | Target: 101 | Result: ALLOWED
[2026-02-27T21:32:28.020881] User: DrBob | Action: READ | Target: 103 | Result: DENIED
[2026-03-03T13:16:38.853806] User: DrBob | Action: LIST | Target: ALL | Result: ALLOWED
[2026-03-03T13:16:48.522098] User: DrBob | Action: READ | Target: 101 | Result: ALLOWED
[2026-03-03T13:16:59.156921] User: DrBob | Action: READ | Target: 103 | Result: DENIED
[2026-03-03T13:17:46.660554] User: Alice | Action: LIST | Target: ALL | Result: ALLOWED
[2026-03-03T13:17:49.091334] User: Alice | Action: DELETE | Target: 101 | Result: DENIED
[2026-03-08T14:55:14.548627] User: DrBob | Action: LIST | Target: ALL | Result: ALLOWED
[2026-03-08T14:55:26.278086] User: DrBob | Action: READ | Target: 101 | Result: ALLOWED
[2026-03-08T14:55:39.483011] User: DrBob | Action: READ | Target: <101> | Result: DENIED
[2026-03-08T14:55:48.859032] User: DrBob | Action: LIST | Target: ALL | Result: ALLOWED
[2026-03-08T14:55:54.889124] User: DrBob | Action: LIST | Target: ALL | Result: ALLOWED
[2026-03-08T14:55:59.621272] User: DrBob | Action: LIST | Target: ALL | Result: ALLOWED
[2026-03-08T14:56:02.488439] User: DrBob | Action: LIST | Target: ALL | Result: ALLOWED
[2026-03-08T14:56:05.044280] User: DrBob | Action: LIST | Target: ALL | Result: ALLOWED
[2026-03-08T14:56:31.876450] User: DrBob | Action: WRITE | Target: <101> | Result: DENIED
[2026-03-08T15:02:25.773552] User: DrBob | Action: LIST | Target: ALL | Result: ALLOWED
[2026-03-08T15:02:29.332547] User: DrBob | Action: READ | Target: 101 | Result: ALLOWED
[2026-03-08T15:02:54.369633] User: DrBob | Action: WRITE | Target: 101 | Result: ALLOWED
[2026-03-08T15:02:57.499781] User: DrBob | Action: READ | Target: 101 | Result: ALLOWED
[2026-03-08T15:03:31.300319] User: DrBob | Action: CREATE | Target: Alice | Result: ALLOWED
[2026-03-08T15:03:35.088354] User: DrBob | Action: LIST | Target: ALL | Result: ALLOWED
[2026-03-08T15:03:42.135468] User: DrBob | Action: READ | Target: 1772978611301 | Result: ALLOWED
[2026-03-08T15:03:52.929294] User: DrBob | Action: DELETE | Target: 101 | Result: DENIED
[2026-03-08T15:57:16.900332] User: NurseEve | Action: LIST | Target: ALL | Result: ALLOWED
[2026-03-08T15:57:23.133012] User: NurseEve | Action: READ | Target: 102 | Result: ALLOWED
[2026-03-08T15:57:25.946537] User: NurseEve | Action: READ | Target: 101 | Result: ALLOWED
[2026-03-08T15:57:41.882821] User: NurseEve | Action: WRITE | Target: 101 | Result: ALLOWED
[2026-03-08T15:57:43.847616] User: NurseEve | Action: READ | Target: 101 | Result: ALLOWED
[2026-03-08T15:57:48.170138] User: NurseEve | Action: DELETE | Target: 101 | Result: DENIED
[2026-03-08T16:18:42.252238] User: Alice | Action: LIST | Target: ALL | Result: ALLOWED
[2026-03-08T16:18:46.993166] User: Alice | Action: READ | Target: 103 | Result: ALLOWED
[2026-03-08T16:18:49.554228] User: Alice | Action: READ | Target: 101 | Result: ALLOWED
[2026-03-08T16:19:28.682092] User: DrBob | Action: LIST | Target: ALL | Result: ALLOWED
[2026-03-08T16:19:31.515912] User: DrBob | Action: READ | Target: 101 | Result: ALLOWED
[2026-03-08T17:53:15.043179] User: DrBob | Action: LIST | Target: ALL | Result: ALLOWED
[2026-03-08T17:53:21.270060] User: DrBob | Action: READ | Target: 101 | Result: ALLOWED
[2026-03-08T17:53:40.710206] User: DrBob | Action: CREATE | Target: Alice | Result: ALLOWED
[2026-03-08T17:53:45.320307] User: DrBob | Action: LIST | Target: ALL | Result: ALLOWED
[2026-03-08T17:53:47.922323] User: DrBob | Action: READ | Target: 104 | Result: ALLOWED
[2026-03-08T17:53:55.874722] User: DrBob | Action: DELETE | Target: 101 | Result: DENIED
[2026-03-08T17:54:19.017770] User: Alice | Action: LIST | Target: ALL | Result: ALLOWED
[2026-03-08T17:54:22.963668] User: Alice | Action: READ | Target: 104 | Result: ALLOWED
[2026-03-08T17:54:30.474927] User: Alice | Action: READ | Target: 102 | Result: DENIED
[2026-03-08T18:01:58.124798] User: Alice | Action: WRITE | Target: 102 | Result: DENIED
[2026-03-08T18:04:18.346155] User: DrBob | Action: READ | Target: 102 | Result: ALLOWED
[2026-03-08T18:04:40.466717] User: GovOrg | Action: LIST | Target: ALL | Result: ALLOWED
[2026-03-08T18:04:45.274026] User: GovOrg | Action: DELETE | Target: 104 | Result: ALLOWED
[2026-03-08T18:05:28.661408] User: GovOrg | Action: CREATE | Target: Alice | Result: DENIED
